domain,mode,operation,time_scope_type,time_scope_value
notes,info,list,absolute,1y
notes,info,list,all,today
notes,info,list,all,today_morning
notes,info,list,all,today_day
notes,info,list,all,today_afternoon
notes,info,list,all,today_evening
notes,info,list,all,tomorrow_morning
notes,info,list,all,7d
notes,info,list,all,30d
notes,info,list,all,3m
notes,info,list,all,1y
notes,info,exists,relative,today
notes,info,exists,relative,today_morning
notes,info,exists,relative,today_day
notes,info,exists,relative,today_afternoon
notes,info,exists,relative,today_evening
notes,info,exists,relative,tomorrow_morning
notes,info,exists,relative,7d
notes,info,exists,relative,30d
notes,info,exists,relative,3m
notes,info,exists,relative,1y
notes,info,exists,absolute,today
notes,info,exists,absolute,today_morning
notes,info,exists,absolute,today_day
notes,info,exists,absolute,today_afternoon
notes,info,exists,absolute,today_evening
notes,info,exists,absolute,tomorrow_morning
notes,info,exists,absolute,7d
notes,info,exists,absolute,30d
notes,info,exists,absolute,3m
notes,info,exists,absolute,1y
notes,info,exists,all,today
notes,info,exists,all,today_morning
notes,info,exists,all,today_day
notes,info,exists,all,today_afternoon
notes,info,exists,all,today_evening
notes,info,exists,all,tomorrow_morning
notes,info,exists,all,7d
notes,info,exists,all,30d
notes,info,exists,all,3m
notes,info,exists,all,1y
notes,info,sum,relative,today
notes,info,sum,relative,today_morning
notes,info,sum,relative,today_day
notes,info,sum,relative,today_afternoon
notes,info,sum,relative,today_evening
notes,info,sum,relative,tomorrow_morning
notes,info,sum,relative,7d
notes,info,sum,relative,30d
notes,info,sum,relative,3m
notes,info,sum,relative,1y
notes,info,sum,absolute,today
notes,info,sum,absolute,today_morning
notes,info,sum,absolute,today_day
notes,info,sum,absolute,today_afternoon
notes,info,sum,absolute,today_evening
notes,info,sum,absolute,tomorrow_morning
notes,info,sum,absolute,7d
notes,info,sum,absolute,30d
notes,info,sum,absolute,3m
notes,info,sum,absolute,1y
notes,info,sum,all,today
notes,info,sum,all,today_morning
notes,info,sum,all,today_day
notes,info,sum,all,today_afternoon
notes,info,sum,all,today_evening
notes,info,sum,all,tomorrow_morning
notes,info,sum,all,7d
notes,info,sum,all,30d
notes,info,sum,all,3m
notes,info,sum,all,1y
notes,info,latest,relative,today
notes,info,latest,relative,today_morning
notes,info,latest,relative,today_day
notes,info,latest,relative,today_afternoon
notes,info,latest,relative,today_evening
notes,info,latest,relative,tomorrow_morning
notes,info,latest,relative,7d
notes,info,latest,relative,30d
notes,info,latest,relative,3m
notes,info,latest,relative,1y
notes,info,latest,absolute,today
notes,info,latest,absolute,today_morning
notes,info,latest,absolute,today_day
notes,info,latest,absolute,today_afternoon
notes,info,latest,absolute,today_evening
notes,info,latest,absolute,tomorrow_morning
notes,info,latest,absolute,7d
notes,info,latest,absolute,30d
notes,info,latest,absolute,3m
notes,info,latest,absolute,1y
notes,info,latest,all,today
notes,info,latest,all,today_morning
notes,info,latest,all,today_day
notes,info,latest,all,today_afternoon
notes,info,latest,all,today_evening
notes,info,latest,all,tomorrow_morning
notes,info,latest,all,7d
notes,info,latest,all,30d
notes,info,latest,all,3m
notes,info,latest,all,1y
files,info,count,relative,today
files,info,count,relative,today_morning
files,info,count,relative,today_day
files,info,count,relative,today_afternoon
files,info,count,relative,today_evening
files,info,count,relative,tomorrow_morning
files,info,count,relative,7d
files,info,count,relative,30d
files,info,count,relative,3m
files,info,count,relative,1y
files,info,count,absolute,today
files,info,count,absolute,today_morning
files,info,count,absolute,today_day
files,info,count,absolute,today_afternoon
files,info,count,absolute,today_evening
files,info,count,absolute,tomorrow_morning
files,info,count,absolute,7d
files,info,count,absolute,30d
files,info,count,absolute,3m
files,info,count,absolute,1y
files,info,count,all,today
files,info,count,all,today_morning
files,info,count,all,today_day
files,info,count,all,today_afternoon
files,info,count,all,today_evening
files,info,count,all,tomorrow_morning
files,info,count,all,7d
files,info,count,all,30d
files,info,count,all,3m
files,info,count,all,1y
files,info,list,relative,today
files,info,list,relative,today_morning
files,info,list,relative,today_day
files,info,list,relative,today_afternoon
files,info,list,relative,today_evening
files,info,list,relative,tomorrow_morning
files,info,list,relative,7d
files,info,list,relative,30d
files,info,list,relative,3m
files,info,list,relative,1y
files,info,list,absolute,today
files,info,list,absolute,today_morning
files,info,list,absolute,today_day
files,info,list,absolute,today_afternoon
files,info,list,absolute,today_evening
files,info,list,absolute,tomorrow_morning
files,info,list,absolute,7d
files,info,list,absolute,30d
files,info,list,absolute,3m
files,info,list,absolute,1y
files,info,list,all,today
files,info,list,all,today_morning
files,info,list,all,today_day
files,info,list,all,today_afternoon
files,info,list,all,today_evening
files,info,list,all,tomorrow_morning
files,info,list,all,7d
files,info,list,all,30d
files,info,list,all,3m
files,info,list,all,1y
files,info,exists,relative,today
files,info,exists,relative,today_morning
files,info,exists,relative,today_day
files,info,exists,relative,today_afternoon
files,info,exists,relative,today_evening
files,info,exists,relative,tomorrow_morning
files,info,exists,relative,7d
files,info,exists,relative,30d
files,info,exists,relative,3m
files,info,exists,relative,1y
files,info,exists,absolute,today
files,info,exists,absolute,today_morning
files,info,exists,absolute,today_day
files,info,exists,absolute,today_afternoon
files,info,exists,absolute,today_evening
files,info,exists,absolute,tomorrow_morning
files,info,exists,absolute,7d
files,info,exists,absolute,30d
files,info,exists,absolute,3m
files,info,exists,absolute,1y
files,info,exists,all,today
files,info,exists,all,today_morning
files,info,exists,all,today_day
files,info,exists,all,today_afternoon
files,info,exists,all,today_evening
files,info,exists,all,tomorrow_morning
files,info,exists,all,7d
files,info,exists,all,30d
files,info,exists,all,3m
files,info,exists,all,1y
files,info,sum,relative,today
files,info,sum,relative,today_morning
files,info,sum,relative,today_day
files,info,sum,relative,today_afternoon
files,info,sum,relative,today_evening
files,info,sum,relative,tomorrow_morning
files,info,sum,relative,7d
files,info,sum,relative,30d
files,info,sum,relative,3m
files,info,sum,relative,1y
files,info,sum,absolute,today
files,info,sum,absolute,today_morning
files,info,sum,absolute,today_day
files,info,sum,absolute,today_afternoon
files,info,sum,absolute,today_evening
files,info,sum,absolute,tomorrow_morning
files,info,sum,absolute,7d
files,info,sum,absolute,30d
files,info,sum,absolute,3m
files,info,sum,absolute,1y
files,info,sum,all,today
files,info,sum,all,today_morning
files,info,sum,all,today_day
files,info,sum,all,today_afternoon
files,info,sum,all,today_evening
files,info,sum,all,tomorrow_morning
files,info,sum,all,7d
files,info,sum,all,30d
files,info,sum,all,3m
files,info,sum,all,1y
files,info,latest,relative,today
files,info,latest,relative,today_morning
files,info,latest,relative,today_day
